latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
18.375,105.75,4,25200,Asia/Bangkok,7
,,,,,
time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),pressure_msl (hPa),
2024-08-16T11:00,31.9,78,0,1004.6,
2024-08-16T12:00,32.2,76,0,1004.2,
2024-08-16T13:00,32.9,74,0,1003.6,
2024-08-16T14:00,32,76,0,1002.9,
2024-08-16T15:00,31.9,77,0,1002.4,
2024-08-16T16:00,31.8,76,0,1002.4,
2024-08-16T17:00,31.3,78,0,1002.9,
2024-08-16T18:00,30.4,83,0,1003.3,
2024-08-16T19:00,30.2,87,0,1003.9,
2024-08-16T20:00,29.5,86,0,1004.8,
2024-08-16T21:00,29,88,0,1005.3,
2024-08-16T22:00,28.7,89,0,1006,
2024-08-16T23:00,28.5,90,0,1005.7,
2024-08-17T00:00,28.4,91,0,1005,
2024-08-17T01:00,28,94,0,1005.2,
2024-08-17T02:00,27.7,94,0,1005,
2024-08-17T03:00,27.6,94,0,1005.2,
2024-08-17T04:00,27.3,94,0,1005.5,
2024-08-17T05:00,27.1,95,0,1005.3,
2024-08-17T06:00,27,96,0,1005.6,
2024-08-17T07:00,27.8,93,0,1005.9,
2024-08-17T08:00,29.2,88,0,1006.3,
2024-08-17T09:00,30.8,83,0,1006.6,
2024-08-17T10:00,32.2,74,0,1006.3,
2024-08-17T11:00,33.4,65,0,1005.8,
2024-08-17T12:00,34.3,59,0,1004.9,
2024-08-17T13:00,34.4,60,0,1005.3,
2024-08-17T14:00,34.4,62,0,1004.5,
2024-08-17T15:00,32.3,73,0,1004.1,
2024-08-17T16:00,32.5,74,0,1004,
2024-08-17T17:00,32.4,73,0,1004.3,
2024-08-17T18:00,31.5,75,0,1004.9,
2024-08-17T19:00,31,80,0,1005.2,
2024-08-17T20:00,30.3,84,0,1005.8,
2024-08-17T21:00,30.1,85,0,1006.4,
2024-08-17T22:00,29.3,90,0,1007.2,
2024-08-17T23:00,28.8,94,0,1007,
2024-08-18T00:00,28.6,93,0,1006.4,
2024-08-18T01:00,28.3,89,0,1006,
2024-08-18T02:00,27.8,89,0,1005.5,
2024-08-18T03:00,27.4,90,0,1005.9,
2024-08-18T04:00,27,90,0,1005.8,
2024-08-18T05:00,26.7,91,0,1006,
2024-08-18T06:00,26.5,92,0,1005.6,
2024-08-18T07:00,28,87,0,1006.5,
2024-08-18T08:00,30.9,70,0,1007,
2024-08-18T09:00,32.4,65,0,1007.1,
2024-08-18T10:00,33.7,58,0,1006.5,
2024-08-18T11:00,34.8,53,0,1005.9,
2024-08-18T12:00,36,49,0,1005.3,
2024-08-18T13:00,36.8,47,0,1004.6,
2024-08-18T14:00,36.9,48,0,1003.6,
2024-08-18T15:00,37,48,0,1002.8,
2024-08-18T16:00,33.7,60,0,1003.2,
2024-08-18T17:00,32,67,0,1003.7,
2024-08-18T18:00,31.4,69,0,1003.8,
2024-08-18T19:00,31.2,74,0,1004.4,
2024-08-18T20:00,30.7,79,0,1004.8,
2024-08-18T21:00,30.7,81,0,1006,
2024-08-18T22:00,30.6,82,0,1005.9,
2024-08-18T23:00,30.1,84,0,1006,
2024-08-19T00:00,29.4,88,0,1005.3,
2024-08-19T01:00,28.9,91,0,1005.2,
2024-08-19T02:00,28.5,92,0,1004.4,
2024-08-19T03:00,28.2,91,0,1004.1,
2024-08-19T04:00,28,89,0,1003.9,
2024-08-19T05:00,27.7,87,0,1003.6,
2024-08-19T06:00,27.5,88,0,1004.2,
2024-08-19T07:00,28.5,86,0,1004.9,
2024-08-19T08:00,31.4,70,0,1005.4,
2024-08-19T09:00,32.8,63,0,1005.8,
2024-08-19T10:00,33.9,58,0,1005,
2024-08-19T11:00,34.9,55,0,1004.2,
2024-08-19T12:00,35.8,52,0,1003.2,
2024-08-19T13:00,35.1,55,0,1003.9,
2024-08-19T14:00,35.5,53,0,1003.1,
2024-08-19T15:00,35.3,54,0,1002.7,
2024-08-19T16:00,35,54,0,1002.1,
2024-08-19T17:00,34.5,57,0,1002,
2024-08-19T18:00,33.2,66,0,1002.4,
2024-08-19T19:00,31.9,76,0,1003.1,
2024-08-19T20:00,30.8,82,0,1004.4,
2024-08-19T21:00,30.2,83,0,1005.5,
2024-08-19T22:00,29.6,81,0,1005.8,
2024-08-19T23:00,29.1,79,0,1005.4,
2024-08-20T00:00,28.6,79,0,1005,
2024-08-20T01:00,27.6,79,0,1005,
2024-08-20T02:00,27.3,78,0,1004.5,
2024-08-20T03:00,27,80,0,1004.2,
2024-08-20T04:00,26.6,83,0,1004,
2024-08-20T05:00,26.4,84,0,1004.2,
2024-08-20T06:00,26.4,85,0,1004.3,
2024-08-20T07:00,27.7,85,0,1005.3,
2024-08-20T08:00,30.4,73,0,1005.7,
2024-08-20T09:00,32,68,0,1006.2,
2024-08-20T10:00,33.5,61,0,1005.7,
2024-08-20T11:00,34.6,56,0,1005,
2024-08-20T12:00,35.9,51,0,1004.5,
2024-08-20T13:00,35.8,51,0,1004.3,
2024-08-20T14:00,36.3,50,0,1003.4,
2024-08-20T15:00,36.3,51,0,1002.9,
2024-08-20T16:00,34.5,57,0,1003,
2024-08-20T17:00,32.8,63,0,1003.3,
2024-08-20T18:00,32.5,66,0,1003.7,
2024-08-20T19:00,32.5,68,0,1004,
2024-08-20T20:00,31.2,73,0,1005.1,
2024-08-20T21:00,30.1,77,0,1006.2,
2024-08-20T22:00,29.5,75,0,1006.7,
2024-08-20T23:00,28.8,77,0,1006.6,
2024-08-21T00:00,28,80,0,1006.4,
2024-08-21T01:00,27.5,79,0,1006.2,
2024-08-21T02:00,27.2,80,0,1005.8,
2024-08-21T03:00,27,82,0,1005.8,
2024-08-21T04:00,26.7,84,0,1005.7,
2024-08-21T05:00,26.6,86,0,1005.8,
2024-08-21T06:00,26.6,88,0,1005.8,
2024-08-21T07:00,28.1,84,0,1006.2,
2024-08-21T08:00,30.8,69,0,1006.7,
2024-08-21T09:00,32.1,64,0,1007,
2024-08-21T10:00,33.6,59,0,1006.6,
2024-08-21T11:00,35.5,51,0,1006,
2024-08-21T12:00,36.5,47,0,1005.4,
2024-08-21T13:00,37,46,0,1005.3,
2024-08-21T14:00,37.2,45,0,1004.4,
2024-08-21T15:00,36.8,46,0,1003.8,
2024-08-21T16:00,34.1,60,0,1003.7,
2024-08-21T17:00,32.8,71,0,1004,
2024-08-21T18:00,32.4,71,0,1004.6,
2024-08-21T19:00,32.5,72,0,1005.2,
2024-08-21T20:00,31.2,78,0,1006.3,
2024-08-21T21:00,30.2,77,0,1007.2,
2024-08-21T22:00,29.9,69,0,1007.8,
2024-08-21T23:00,29.3,69,0,1007.5,
2024-08-22T00:00,28.9,73,0,1007.2,
2024-08-22T01:00,28.1,77,0,1007.1,
2024-08-22T02:00,27.8,78,0,1006.9,
2024-08-22T03:00,27.6,80,0,1006.3,
2024-08-22T04:00,27.4,82,0,1006.2,
2024-08-22T05:00,27.1,84,0,1006.1,
2024-08-22T06:00,26.9,86,0,1006.5,
2024-08-22T07:00,28.3,85,0,1007.3,
2024-08-22T08:00,30.7,72,0,1008,
2024-08-22T09:00,32.5,65,0,1008.5,
2024-08-22T10:00,34.1,56,0,1008.3,
2024-08-22T11:00,35.4,50,0,1007.7,
2024-08-22T12:00,36.7,45,0,1007.1,
2024-08-22T13:00,37.3,43,0,1006.3,
2024-08-22T14:00,38.1,40,0,1005.4,
2024-08-22T15:00,35.1,59,0,1005,
2024-08-22T16:00,34.2,61,0,1004.6,
2024-08-22T17:00,33.3,65,0,1004.6,
2024-08-22T18:00,32.4,70,0,1005.4,
2024-08-22T19:00,31.6,77,0,1006.1,
2024-08-22T20:00,31.1,80,0,1007.2,
2024-08-22T21:00,30.8,82,0,1008.3,
2024-08-22T22:00,30.4,83,0,1008.7,
2024-08-22T23:00,29.9,85,0,1008.6,
2024-08-23T00:00,29.5,87,0,1008.4,
2024-08-23T01:00,29,86,0,1008.3,
2024-08-23T02:00,28.5,87,0,1007.6,
2024-08-23T03:00,28.2,87,0,1007.5,
2024-08-23T04:00,28,87,0,1007.2,
2024-08-23T05:00,27.8,88,0,1007.5,
2024-08-23T06:00,27.7,88,0,1007.7,
2024-08-23T07:00,28.5,90,0,1008.9,
2024-08-23T08:00,30.7,78,0,1009.1,
2024-08-23T09:00,32.3,70,0,1009.7,
2024-08-23T10:00,33.7,61,0,1009.5,
2024-08-23T11:00,34.9,53,0,1009.1,
2024-08-23T12:00,35.7,49,0,1008.6,
2024-08-23T13:00,35.3,53,0,1007.8,
2024-08-23T14:00,35.5,52,0,1007.2,
2024-08-23T15:00,33.5,61,0,1007,
2024-08-23T16:00,33,64,0,1006.6,
2024-08-23T17:00,32.4,66,0,1006.8,
2024-08-23T18:00,30.8,75,0,1007.1,
2024-08-23T19:00,29.9,78,0,1008,
2024-08-23T20:00,29.3,81,0,1008.7,
2024-08-23T21:00,28.9,83,0,1009.8,
2024-08-23T22:00,28.6,86,0,1010.2,
2024-08-23T23:00,28.3,88,0,1010,
2024-08-24T00:00,28.2,90,0,1009.5,
2024-08-24T01:00,27.5,93,0,1008.9,
2024-08-24T02:00,27.2,94,0,1008.1,
2024-08-24T03:00,27,95,0,1007.8,
2024-08-24T04:00,27,95,0,1007.9,
2024-08-24T05:00,27,94,0,1008,
2024-08-24T06:00,26.9,94,0,1008.3,
2024-08-24T07:00,27.8,92,0,1008.9,
2024-08-24T08:00,29.2,85,0,1009.4,
2024-08-24T09:00,30.7,80,0,1009.8,
2024-08-24T10:00,31.9,72,0,1009.6,
2024-08-24T11:00,33.3,63,0,1009.4,
2024-08-24T12:00,34.3,58,0,1008.4,
2024-08-24T13:00,34.9,58,0,1007.3,
2024-08-24T14:00,34.4,60,0,1006.2,
2024-08-24T15:00,34.1,59,0,1005.6,
2024-08-24T16:00,33.5,61,0,1004.8,
2024-08-24T17:00,32.1,66,0,1005.5,
2024-08-24T18:00,30.6,74,0,1005.8,
2024-08-24T19:00,30.4,76,0,1006.4,
2024-08-24T20:00,29.9,80,0,1007.2,
2024-08-24T21:00,29.7,81,0,1008.3,
2024-08-24T22:00,29.5,84,0,1008.7,
2024-08-24T23:00,29,87,0,1008.9,
2024-08-25T00:00,28.6,88,0,1008,
2024-08-25T01:00,28.2,90,0,1008,
2024-08-25T02:00,27.7,92,0,1007.1,
2024-08-25T03:00,27.4,92,0,1006.8,
2024-08-25T04:00,27.1,93,0,1006.8,
2024-08-25T05:00,27,94,0,1006.6,
2024-08-25T06:00,26.8,94,0,1007.1,
2024-08-25T07:00,27.4,90,0,1007.4,
2024-08-25T08:00,28.3,87,0,1008.2,
2024-08-25T09:00,29.5,83,0,1008.2,
2024-08-25T10:00,31.1,77,0,1008.3,
2024-08-25T11:00,32.1,69,0,1007.6,
2024-08-25T12:00,33,63,0,1006.5,
2024-08-25T13:00,33.3,61,0,1006,
2024-08-25T14:00,32.7,67,0,1005.4,
2024-08-25T15:00,32.1,71,0,1004.9,
2024-08-25T16:00,31.4,71,0,1004.3,
2024-08-25T17:00,31,73,0,1004.3,
2024-08-25T18:00,30.5,75,0,1004.6,
2024-08-25T19:00,29.8,80,0,1005.2,
2024-08-25T20:00,29.4,84,0,1006,
2024-08-25T21:00,29,86,0,1006.8,
2024-08-25T22:00,28.7,88,0,1007.1,
2024-08-25T23:00,28.7,88,0,1007.1,
2024-08-26T00:00,28.4,90,0,1006.7,
2024-08-26T01:00,27.5,95,0,1006.5,
2024-08-26T02:00,27.2,96,0,1005.9,
2024-08-26T03:00,27,97,0,1006,
2024-08-26T04:00,26.8,96,0,1005.8,
2024-08-26T05:00,26.6,96,0,1006.1,
2024-08-26T06:00,26.5,96,0,1006.1,
2024-08-26T07:00,27.5,91,0,1006.4,
2024-08-26T08:00,29,87,0,1006.8,
2024-08-26T09:00,30.6,82,0,1007,
2024-08-26T10:00,32.5,68,0,1006.8,
2024-08-26T11:00,33.8,59,0,1005.9,
2024-08-26T12:00,35,54,0,1005.5,
2024-08-26T13:00,35.5,52,0,1005.1,
2024-08-26T14:00,33.8,61,0,1005,
2024-08-26T15:00,33.8,57,0,1004.5,
2024-08-26T16:00,33.2,60,0,1003.8,
2024-08-26T17:00,32,63,0,1004.3,
2024-08-26T18:00,30.5,70,0,1005,
2024-08-26T19:00,30,74,0,1005.1,
2024-08-26T20:00,29.1,79,0,1006.4,
2024-08-26T21:00,28.6,80,0,1006.9,
2024-08-26T22:00,28.3,81,0,1007.6,
2024-08-26T23:00,27.9,84,0,1007.3,
2024-08-27T00:00,27.9,86,0,1007.1,
2024-08-27T01:00,28,85,0,1006.3,
2024-08-27T02:00,27.5,88,0,1005.9,
2024-08-27T03:00,27.2,90,0,1005.7,
2024-08-27T04:00,26.9,92,0,1005.7,
2024-08-27T05:00,26.7,93,0,1005.7,
2024-08-27T06:00,26.5,94,0,1006.1,
2024-08-27T07:00,27.8,91,0,1006.4,
2024-08-27T08:00,29.7,81,0,1007,
2024-08-27T09:00,31.4,72,0,1006.9,
2024-08-27T10:00,33.1,63,0,1006.7,
